"US historical birth and death data, 1950-2100",,,,,,,,,
"Total births and deaths per year come from Our World in Data, ""Births and deaths per year, United States: historic estimates with future projectsion based on the UN medium scenario""",,,,,,,,,
https://ourworldindata.org/grapher/births-and-deaths-projected-to-2100?country=~USA,,,,,,,,,
"Historical data birth rates and death rates per 1000 population and total population data are from Our World in Data, ""Birth rate vs. death rate, 2023""",,,,,,,,,
https://ourworldindata.org/grapher/birth-rate-vs-death-rate?country=~USA,,,,,,,,,
"The original data source is ""World Population Prospects"", United Nations, https://population.un.org/wpp/",,,,,,,,,
"Forecast data for birth rates and death rates come from USA Facts, ""What will America's population look like by 2100?""",,,,,,,,,
https://usafacts.org/articles/what-will-americas-population-look-like-by-2100/,,,,,,,,,
,,,,,,,,,
year,births_per_1k_hst,births_per_1k_frc,deaths_per_1k_hst,deaths_per_1k_frc,tot_pop,tot_deaths_hst,tot_deaths_frc,tot_births_hst,tot_births_frc
1950,23.981,,9.596,,154202683,1479684,,3697926,
1951,24.352,,9.603,,156481322,1502719,,3810644,
1952,24.561,,9.509,,158794225,1509927,,3900093,
1953,24.539,,9.436,,161168319,1520815.1,,3954926,
1954,24.87,,9.027,,163636304,1477219,,4069617,
1955,24.638,,9.101,,166200030,1512646,,4094908,
1956,24.905,,9.13,,168824963,1541406,,4204606,
1957,24.991,,9.331,,171499235,1600223,,4285950,
1958,24.944,,9.22,,174215305,1606223,,4345661,
1959,24.552,,9.072,,177145772,1607084,,4349362,
1960,24.246,,9.23,,180274554,1663925,,4370880,
1961,23.866,,9.044,,183489491,1659390,,4379242,
1962,22.86,,9.237,,186724277,1724774,,4268551,
1963,22.049,,9.442,,189825228,1792424,,4185449.2,
1964,21.397,,9.275,,192819456,1788484,,4125771,
1965,19.908,,9.339,,195653775,1827277,,3895103,
1966,18.896,,9.45,,198265397,1873628,,3746479,
1967,18.162,,9.328,,200699913,1872056,,3645103,
1968,17.878,,9.656,,203011021,1960250,,3629481,
1969,18.258,,9.536,,205300032,1957830,,3748362,
1970,18.74,,9.436,,207796339,1960710,,3894161,
1971,17.67,,9.362,,210426424,1970009,,3718310,
1972,16.057,,9.4,,212842574,2000830,,3417716,
1973,15.357,,9.337,,215006548,2007476,,3301844,
1974,15.304,,9.061,,217076474,1966881,,3322229,
1975,15.102,,8.767,,219129300,1921059.9,,3309291,
1976,15.081,,8.751,,221168756,1935442,,3335451,
1977,15.631,,8.605,,223259417,1921168,,3489832,
1978,15.6,,8.63,,225396098,1945058,,3516171,
1979,16.059,,8.471,,227575083,1927895,,3654688,
1980,16.293,,8.719,,229858654,2004241,,3745108,
1981,16.192,,8.587,,232201613,1993818,,3759893,
1982,16.227,,8.495,,234583158,1992793,,3806566,
1983,15.904,,8.606,,236986362,2039396,,3769043,
1984,15.8,,8.615,,239353968,2061979,,3781908,
1985,15.905,,8.741,,241690439,2112667,,3844129,
1986,15.723,,8.741,,243953810,2132378,,3835775,
1987,15.801,,8.742,,246161292,2151957,,3889634,
1988,16.039,,8.854,,248393235,2199393,,3984018,
1989,16.346,,8.698,,250675047,2180293,,4097526.8,
1990,16.466,,8.597,,253373385,2178346,,4172065,
1991,16.043,,8.575,,256471425,2199359.2,,4114563,
1992,15.602,,8.489,,259606020,2203670,,4050344,
1993,15.116,,8.741,,262633235,2295674,,3970052,
1994,14.713,,8.683,,265474811,2305019,,3906002,
1995,14.336,,8.711,,268205794,2336342,,3845004,
1996,14.119,,8.631,,270860696,2337807,,3824283,
1997,13.922,,8.549,,273468014,2337756,,3807342,
1998,13.942,,8.542,,276119323,2358735,,3849741,
1999,13.892,,8.655,,278785482,2413013,,3872873,
2000,14.056,,8.611,,281484127,2423914,,3956650,
2001,13.826,,8.558,,284279629,2432923,,3930346,
2002,13.671,,8.575,,287084336,2461854,,3924849,
2003,13.74,,8.508,,289908091,2466663,,3983291,
2004,13.712,,8.265,,292786247,2419815,,4014648,
2005,13.714,,8.36,,295716665,2472159,,4055468,
2006,13.991,,8.21,,298730210,2452681,,4179497,
2007,14.023,,8.119,,301844227,2450591,,4232701,
2008,13.719,,8.204,,304970328,2502103,,4184009.8,
2009,13.275,,8.015,,308023451,2468889,,4089073,
2010,12.791,,8.044,,311062786,2502227,,3978953,
2011,12.552,,8.128,,314105078,2553168,,3942528,
2012,12.433,,8.096,,317115348,2567419,,3942569,
2013,12.28,,8.157,,320110753,2611127,,3930896,
2014,12.331,,8.144,,323115378,2631369,,3984348,
2015,12.211,,8.303,,326126498,2707668,,3982193,
2016,12.008,,8.302,,329179421,2732734,,3952809,
2017,11.657,,8.416,,332204656,2795952,,3872480,
2018,11.389,,8.412,,335056495,2818624,,3816077,
2019,11.169,,8.415,,337790068,2842471,,3772693,
2020,10.73,,9.97,,339436157,3384292,,3641990,
2021,10.822,,10.268,,340161441,3492879,,3681202,
2022,10.981,,9.332,,341534041,3187300,,3750379,
2023,10.648,10.8299,8.663,8.545681,343477332,2975657,,3657476,
2024,,10.79404,,8.654252,,,3046572,,3654449
2025,,10.75985,,8.756982,,,3090001,,3663798
2026,,10.72418,,8.862695,,,3136203.8,,3673260
2027,,10.69009,,8.968531,,,3181276,,3677407
2028,,10.65467,,9.0775,,,3230729,,3690023
2029,,10.62097,,9.19262,,,3279256,,3705142
2030,,10.58614,,9.308148,,,3329482,,3722355
2031,,10.55036,,9.42718,,,3384180,,3738465
2032,,10.51375,,9.549842,,,3437542,,3759208
2033,,10.47599,,9.673016,,,3492311,,3785081
2034,,10.4343,,9.793944,,,3548067,,3804144
2035,,10.38873,,9.918458,,,3604214,,3832236
2036,,10.34215,,10.03805,,,3659974,,3861265
2037,,10.28894,,10.15572,,,3715060,,3881174
2038,,10.23195,,10.27153,,,3769161.2,,3902092
2039,,10.17403,,10.37994,,,3824487,,3921086
2040,,10.10951,,10.48383,,,3874503,,3928654
2041,,10.04398,,10.58045,,,3924516,,3931954
2042,,9.977432,,10.66988,,,3969390,,3925344
2043,,9.909691,,10.74926,,,4010718,,3918986
2044,,9.846243,,10.82137,,,4048623,,3904969
2045,,9.781329,,10.88054,,,4080399,,3896504
2046,,9.723182,,10.92953,,,4108602,,3871599
2047,,9.66611,,10.97106,,,4135526,,3846970
2048,,9.612712,,11.00223,,,4161539,,3826069
2049,,9.560107,,11.02299,,,4178028.8,,3802810
2050,,9.513669,,11.03319,,,4196016,,3786868
2051,,9.467751,,11.03555,,,4206940,,3770805
2052,,9.427723,,11.02991,,,4211375,,3755160
2053,,9.393513,,11.01623,,,4214810,,3745646
2054,,9.362184,,10.99988,,,4214712,,3736401
2055,,9.339219,,10.97807,,,4208770,,3730971
2056,,9.316248,,10.95073,,,4203404,,3729723
2057,,9.298701,,10.92329,,,4198585,,3728280
2058,,9.283812,,10.89576,,,4190265.2,,3729038
2059,,9.268801,,10.8681,,,4183835,,3736435
2060,,9.256438,,10.8431,,,4170096.2,,3746407
2061,,9.241232,,10.818,,,4162853,,3755568
2062,,9.228696,,10.80105,,,4157417,,3764810
2063,,9.213475,,10.78691,,,4153984,,3777915
2064,,9.195578,,10.77829,,,4153083,,3791944
2065,,9.177869,,10.77533,,,4155266,,3806221
2066,,9.157644,,10.77803,,,4160783.2,,3821110
2067,,9.132333,,10.78929,,,4169917,,3836550
2068,,9.107419,,10.80638,,,4186707,,3850245
2069,,9.08302,,10.83216,,,4198991,,3862197
2070,,9.053771,,10.86942,,,4216232,,3876044
2071,,9.025232,,10.91013,,,4238415,,3878228
2072,,8.994656,,10.95698,,,4262214,,3884880
2073,,8.964827,,11.00192,,,4284167,,3882351
2074,,8.933025,,11.05309,,,4304460,,3885698
2075,,8.904715,,11.10515,,,4327279,,3886590
2076,,8.874441,,11.15807,,,4351570,,3886297
2077,,8.844956,,11.21733,,,4371558,,3886234
2078,,8.818934,,11.27481,,,4385206,,3884169
2079,,8.790977,,11.33324,,,4403682,,3876733
2080,,8.769151,,11.39259,,,4415195,,3868056
2081,,8.74533,,11.45015,,,4425863,,3859134
2082,,8.724874,,11.50319,,,4432481,,3853723
2083,,8.707711,,11.5516,,,4440726,,3848349
